ENGIE seleciona cinco projetos no Nordeste para investir em conservação da água,3 de dezembro de 2025,https://abeeolica.org.br/engie-seleciona-cinco-projetos-no-nordeste-para-investir-em-conservacao-da-agua/
Na COP30, ABEEólica e Global Carbon Council assinam acordo estratégico para acelerar a consolidação de um mercado de carbono de alta integridade no Brasil,17 de novembro de 2025,https://abeeolica.org.br/na-cop30-abeeolica-e-global-carbon-council-assinam-acordo-estrategico-para-acelerar-a-consolidacao-de-um-mercado-de-carbono-de-alta-integridade-no-brasil/
Parcerias do Bem, da ENGIE, celebra quatro anos com mais de 200 projetos e 75 mil pessoas beneficiadas,10 de novembro de 2025,https://abeeolica.org.br/parcerias-do-bem-da-engie-celebra-quatro-anos-com-mais-de-200-projetos-e-75-mil-pessoas-beneficiadas/
Mais recente diretriz da GWO endossada pela indústria é lançada no Brazil Windpower,5 de novembro de 2025,https://abeeolica.org.br/mais-recente-diretriz-da-gwo-endossada-pela-industria-e-lancada-no-brazil-windpower/
EÓLICA OFFSHDORE: SENAI-RN e DOIS A Engenharia anunciam edital para atrair investidores à 1ª planta-piloto de energia eólica offshore do Brasil,3 de novembro de 2025,https://abeeolica.org.br/eolica-offshdore-senai-rn-e-dois-a-engenharia-anunciam-edital-para-atrair-investidores-a-1a-planta-piloto-de-energia-eolica-offshore-do-brasil/
SENAI-RN, ISI-ER e Codern firmam acordo de cooperação que impulsiona projetos para o offshore,3 de novembro de 2025,https://abeeolica.org.br/senai-rn-isi-er-e-codern-firmam-acordo-de-cooperacao-que-impulsiona-projetos-para-o-offshore/
SENAI-RN destaca novas formações, planta-piloto offshore e parcerias em painéis do Brazil Windpower,27 de outubro de 2025,https://abeeolica.org.br/senai-rn-destaca-novas-formacoes-planta-piloto-offshore-e-parcerias-em-paineis-do-brazil-windpower/
SENAI reúne cinco estados do Nordeste em estande conjunto no Brazil Windpower,23 de outubro de 2025,https://abeeolica.org.br/senai-reune-cinco-estados-do-nordeste-em-estande-conjunto-no-brazil-windpower/
Nova edição do programa Mulheres do Nosso Bairro, da ENGIE, vai investir mais de um milhão em projetos,20 de outubro de 2025,https://abeeolica.org.br/nova-edicao-do-programa-mulheres-do-nosso-bairro-da-engie-vai-investir-mais-de-um-milhao-em-projetos/
ENGIE e Jirau Energia lançam Programa Trainee Técnico 2026 com foco em diversidade e transição energética,16 de outubro de 2025,https://abeeolica.org.br/engie-e-jirau-energia-lancam-programa-trainee-tecnico-2026-com-foco-em-diversidade-e-transicao-energetica/
ISI-ER, GWEC e OEP promovem discussão com a Marinha sobre desafios do Brasil para eólicas offshore,13 de outubro de 2025,https://abeeolica.org.br/isi-er-gwec-e-oep-promovem-discussao-com-a-marinha-sobre-desafios-do-brasil-para-eolicas-offshore/
Eólica offshore avança no mundo e SENAI-RN vai começar a preparar profissionais no Brasil,1 de outubro de 2025,https://abeeolica.org.br/eolica-offshore-avanca-no-mundo-e-senai-rn-vai-comecar-a-preparar-profissionais-no-brasil/
ENGIE Brasil Energia é a primeira empresa do país a fazer aporte via Lei da Reciclagem,2 de setembro de 2025,https://abeeolica.org.br/engie-brasil-energia-e-a-primeira-empresa-do-pais-a-fazer-aporte-via-lei-da-reciclagem/
FAETI, do SENAI-RN, abre inscrições para a primeira pós-graduação do Brasil em energia eólica offshore,2 de setembro de 2025,https://abeeolica.org.br/faeti-do-senai-rn-abre-inscricoes-para-a-primeira-pos-graduacao-do-brasil-em-energia-eolica-offshore/
Governo e ISI-ER lançam nova Plataforma de Energias do RN como impulso a estudos e investimentos,29 de agosto de 2025,https://abeeolica.org.br/governo-e-isi-er-lancam-nova-plataforma-de-energias-do-rn-como-impulso-a-estudos-e-investimentos/
Elera Renováveis impulsiona turismo sustentável no Geoparque Seridó,21 de agosto de 2025,https://abeeolica.org.br/elera-renovaveis-impulsiona-turismo-sustentavel-no-geoparque-serido/
ENGIE e Fraport Brasil levam solução de energia limpa a aeroportos de Porto Alegre e Fortaleza, com potencial para reduzir 13 mil toneladas de CO₂ por ano,21 de agosto de 2025,https://abeeolica.org.br/engie-e-fraport-brasil-levam-solucao-de-energia-limpa-a-aeroportos-de-porto-alegre-e-fortaleza-com-potencial-para-reduzir-13-mil-toneladas-de-co%e2%82%82-por-ano/
ENGIE promove Jornada Agosto Lilás com rodada de palestras em SC e no PR,19 de agosto de 2025,https://abeeolica.org.br/engie-promove-jornada-agosto-lilas-com-rodada-de-palestras-em-sc-e-no-pr/
SENAI-RN e Ocean Energy Pathway iniciam 1ª Formação Básica em Eólica Offshore no Brasil,13 de agosto de 2025,https://abeeolica.org.br/senai-rn-e-ocean-energy-pathway-iniciam-1a-formacao-basica-em-eolica-offshore-no-brasil/
O principal congresso de END & Inspeção da América Latina chega à sua 40ª edição,4 de agosto de 2025,https://abeeolica.org.br/o-principal-congresso-de-end-inspecao-da-america-latina-chega-a-sua-40a-edicao/
Geoparque Seridó ganha nova sede com parceria estratégica entre Elera Renováveis, Casa dos Ventos, prefeitura de Currais Novos e IDEMA,1 de agosto de 2025,https://abeeolica.org.br/geoparque-serido-ganha-nova-sede-com-parceria-estrategica-entre-elera-renovaveis-casa-dos-ventos-prefeitura-de-currais-novos-e-idema/
Empresas de energia unem-se para promover responsabilidade social – Movimento Parcerias do Bem conta com cerca de 70 empresas ativas, 15 delas são do setor de energia,11 de junho de 2025,https://abeeolica.org.br/empresas-de-energia-unem-se-para-promover-responsabilidade-social-movimento-parcerias-do-bem-conta-com-cerca-de-70-empresas-ativas-15-delas-sao-do-setor-de-energia/
BOWS 2025: MME vai falar sobre cronograma e prazospara a eólica offshore no Brasil,27 de maio de 2025,https://abeeolica.org.br/bows-2025-mme-vai-falar-sobre-cronograma-e-prazospara-a-eolica-offshore-no-brasil/
Laura Porto é a primeira presidenta do Conselho da ABEEólica,10 de abril de 2025,https://abeeolica.org.br/laura-porto-e-a-primeira-presidenta-do-conselho-da-abeeolica/
Encontro de Negócios 2025 trará Hub para conectar empresas da cadeia produtiva,2 de abril de 2025,https://abeeolica.org.br/encontro-de-negocios-2025-trara-hub-para-conectar-empresas-da-cadeia-produtiva/
Encontro de Negócios da ABEEólica debate a retomada da eólica no Brasil,19 de março de 2025,https://abeeolica.org.br/encontro-de-negocios-da-abeeolica-debate-a-retomada-da-eolica-no-brasil/
ABEEólica apresenta sua Agenda Legislativa Prioritária,12 de fevereiro de 2025,https://abeeolica.org.br/abeeolica-apresenta-sua-agenda-legislativa-prioritaria/
#VetoAosJabutis da geração offshore evita aumento de 9% na conta de luz do brasileiro,30 de janeiro de 2025,https://abeeolica.org.br/vetoaosjabutis-da-geracao-offshore-evita-aumento-de-9-na-conta-de-luz-do-brasileiro/
Aprovação do Projeto de Lei 576/2021: Eólicas Offshore no Brasil,12 de dezembro de 2024,https://abeeolica.org.br/aprovacao-do-projeto-de-lei-576-2021-eolicas-offshore-no-brasil/
ABEEólica lança Vídeo Institucional Documental sobre impacto nos territórios,18 de novembro de 2024,https://abeeolica.org.br/abeeolica-lanca-video-institucional-documental-sobre-impacto-nos-territorios/
ABEEólica participa de evento paralelo no G20 Brasil 2024,30 de setembro de 2024,https://abeeolica.org.br/abeeolica-participa-de-evento-paralelo-no-g20-brasil-2024/
BloombergNEF: Brasil apresenta oportunidades de investimento de US$ 1,3 trilhão em fornecimento de energia com baixa emissão de carbono,23 de setembro de 2024,https://abeeolica.org.br/bloombergnef-brasil-apresenta-oportunidades-de-investimento-de-us-13-trilhao-em-fornecimento-de-energia-com-baixa-emissao-de-carbono/
Conta de luz vai ficar mais cara com nova proposta de subsídio para energia solar,9 de setembro de 2024,https://abeeolica.org.br/conta-de-luz-vai-ficar-mais-cara-com-nova-proposta-de-subsidio-paraenergia-solar/
Seis pontos importantes para a urgência da aprovação do Projeto de Lei 576/2021: Eólicas Offshore no Brasil,23 de agosto de 2024,https://abeeolica.org.br/seis-pontos-importantes-para-a-urgencia-da-aprovacao-do-projeto-de-lei-576-2021-eolicas-offshore-no-brasil/
Nota ABEEólica – PL Hidrogênio,20 de junho de 2024,https://abeeolica.org.br/nota-abeeolica-pl-hidrogenio/
ABEEólica leva Guia de Boas Práticas do Setor Eólico ao Piauí,6 de junho de 2024,https://abeeolica.org.br/abeeolica-leva-guia-de-boas-praticas-do-setor-eolico-ao-piaui/
ABEEólica leva Guia de Boas Práticas do Setor Eólico ao RN,3 de maio de 2024,https://abeeolica.org.br/abeeolica-leva-guia-de-boas-praticas-do-setor-eolico-ao-rn/
ABEEólica lança Guia de Boas Práticas Sociombiental do Setor Eólico,24 de abril de 2024,https://abeeolica.org.br/abeeolica-lanca-guia-de-boas-praticas-sociombiental-do-setor-eolico/
ABEEólica apresenta sua Agenda Legislativa Prioritária no Congresso Nacional,9 de abril de 2024,https://abeeolica.org.br/abeeolica-apresenta-sua-agenda-legislativa-prioritaria-no-congresso-nacional/
RN ganha 1º Centro de Excelência em Formação Profissional para Hidrogênio Verde do Brasil,1 de março de 2024,https://abeeolica.org.br/rn-ganha-1o-centro-de-excelencia-em-formacao-profissional-para-hidrogenio-verde-do-brasil/
Summit no Rio de Janeiro vai discutir sobre eólicas offshore no Brasil,22 de fevereiro de 2024,https://abeeolica.org.br/summit-no-rio-de-janeiro-vai-discutir-sobre-eolicas-offshore-no-brasil/
Brasil adere à iniciativa global de expansão da eólica offshore,5 de dezembro de 2023,https://abeeolica.org.br/brasil-adere-a-iniciativa-global-de-expansao-da-eolica-offshore/
Usinas eólicas dominam expansão da oferta de energia elétrica em julho,11 de agosto de 2023,https://abeeolica.org.br/usinas-eolicas-dominam-expansao-da-oferta-de-energia-eletrica-em-julho/
Indústria eólica global atinge marco de 1 Terawatt em junho,15 de junho de 2023,https://abeeolica.org.br/industria-eolica-celebra-hoje-a-marca-historica-de-1tw-de-capacidade-instalada/
Fernando Elias é reeleito presidente do Conselho da ABEEólica,27 de abril de 2023,https://abeeolica.org.br/fernando-elias-e-reeleito-presidente-do-conselho-da-abeeolica/
CTGAS-ER, do SENAI-RN, anuncia expansão, com ações inéditas para qualificar profissionais de olho no offshore e eletromobilidade,11 de abril de 2023,https://abeeolica.org.br/ctgas-er-do-senai-rn-anuncia-expansao-com-acoes-ineditas-para-qualificar-profissionais-de-olho-no-offshore-e-eletromobilidade/
RN terá Polo para acelerar startups e pequenos negócios de energias renováveis,12 de agosto de 2022,https://abeeolica.org.br/rn-tera-polo-para-acelerar-startups-e-pequenos-negocios-de-energias-renovaveis/
